日期,收盘（1）,开盘（+1）,高,低,交易量,涨跌幅,Return
2023/4/10,"3,315.30","3,331.51","3,332.58","3,309.92",337.83K,-0.37%,-0.004877537
2023/4/7,"3,327.65","3,312.48","3,328.85","3,308.06",28.30B,0.45%,0.004569196
2023/4/6,"3,312.63","3,302.75","3,314.53","3,296.05",32.72B,0.00%,0.002986981
2023/4/4,"3,312.56","3,297.18","3,312.56","3,290.99",38.59B,0.49%,0.004653747
2023/4/3,"3,296.40","3,277.34","3,299.73","3,276.42",35.77B,0.72%,0.005798846
2023/3/31,"3,272.86","3,263.41","3,278.42","3,260.04",28.36B,0.36%,0.002891559
2023/3/30,"3,261.25","3,243.07","3,263.74","3,220.98",29.99B,0.65%,0.005590145
2023/3/29,"3,240.06","3,253.62","3,254.56","3,229.58",29.69B,-0.16%,-0.004176374
2023/3/28,"3,245.38","3,256.60","3,264.10","3,241.74",29.57B,-0.19%,-0.00345126
2023/3/27,"3,251.40","3,261.82","3,261.82","3,229.70",33.79B,-0.44%,-0.003199649
2023/3/24,"3,265.65","3,282.74","3,282.74","3,260.84",32.45B,-0.64%,-0.005219615
2023/3/23,"3,286.65","3,258.78","3,286.65","3,252.99",30.61B,0.64%,0.008515917
2023/3/22,"3,265.75","3,263.41","3,279.39","3,255.74",29.08B,0.31%,0.000716784
2023/3/21,"3,255.65","3,240.84","3,256.00","3,237.89",30.18B,0.64%,0.004559393
2023/3/20,"3,234.91","3,253.93","3,267.99","3,231.65",39.25B,-0.48%,-0.00586239
2023/3/17,"3,250.55","3,245.26","3,279.92","3,240.16",34.30B,0.73%,0.001628743
2023/3/16,"3,226.89","3,244.47","3,257.43","3,224.72",32.74B,-1.12%,-0.005433184
2023/3/15,"3,263.31","3,261.03","3,273.12","3,256.86",30.52B,0.55%,0.000698921
2023/3/14,"3,245.31","3,261.92","3,262.00","3,216.99",31.99B,-0.72%,-0.005105102
2023/3/13,"3,268.70","3,228.12","3,268.70","3,228.12",29.49B,1.20%,0.012492428
2023/3/10,"3,230.08","3,255.51","3,262.15","3,229.50",28.11B,-1.40%,-0.007842041
2023/3/9,"3,276.09","3,285.94","3,289.06","3,260.00",26.40B,-0.22%,-0.003002122
2023/3/8,"3,283.25","3,271.88","3,283.25","3,263.69",26.04B,-0.06%,0.003469042
2023/3/7,"3,285.10","3,320.21","3,342.86","3,284.41",39.00B,-1.11%,-0.010630941
2023/3/6,"3,322.03","3,332.02","3,333.06","3,308.73",34.05B,-0.19%,-0.003002685
2023/3/3,"3,328.39","3,314.77","3,330.60","3,302.62",34.40B,0.54%,0.004100464
2023/3/2,"3,310.65","3,308.01","3,320.74","3,306.46",32.85B,-0.05%,0.000797745
2023/3/1,"3,312.35","3,279.14","3,315.16","3,272.04",31.84B,1.00%,0.010076714
2023/2/28,"3,279.61","3,265.74","3,280.42","3,246.14",25.16B,0.66%,0.00423813
2023/2/27,"3,258.03","3,257.00","3,276.58","3,251.72",24.29B,-0.28%,0.000316192
2023/2/24,"3,267.16","3,287.26","3,288.39","3,253.97",23.42B,-0.62%,-0.006133285
2023/2/23,"3,287.48","3,293.52","3,307.44","3,275.36",26.23B,-0.11%,-0.001835588
2023/2/22,"3,291.15","3,292.05","3,307.03","3,286.72",25.54B,-0.47%,-0.000273423
2023/2/21,"3,306.52","3,291.63","3,308.79","3,282.44",32.44B,0.49%,0.004513394
2023/2/20,"3,290.34","3,230.47","3,291.04","3,225.84",32.50B,2.06%,0.018363265
2023/2/17,"3,224.02","3,244.73","3,262.47","3,223.26",27.85B,-0.77%,-0.006403114
2023/2/16,"3,249.03","3,281.74","3,308.83","3,231.34",38.09B,-0.96%,-0.010017279
2023/2/15,"3,280.49","3,294.01","3,296.20","3,274.55",26.99B,-0.39%,-0.004112866
