日期,收盘,开盘,高,低,交易量,涨跌幅,return
2023/4/10,"2,016.30","2,020.85","2,021.05","2,004.25",,-0.22%,-0.002254066
2023/4/9,"2,020.65","2,023.15","2,023.15","2,005.45",,0.43%,-0.001236461
2023/4/6,"2,011.90","2,022.20","2,023.30","2,005.00",0.49K,-0.45%,-0.005106478
2023/4/5,"2,020.90","2,022.10","2,033.80","2,013.60",0.53K,-0.06%,-0.000593619
2023/4/4,"2,022.20","1,984.60","2,027.10","1,979.00",0.81K,1.93%,0.018768645
2023/4/3,"1,983.90","1,968.10","1,991.70","1,950.00",0.74K,0.76%,0.007995994
2023/3/31,"1,969.00","1,981.30","1,986.80","1,968.00",0.96K,-0.57%,-0.006227395
2023/3/30,"1,980.30","1,965.90","1,984.40","1,954.90",10.12K,0.68%,0.007298193
2023/3/29,"1,966.90","1,975.40","1,976.00","1,959.50",88.56K,-0.33%,-0.00431221
2023/3/28,"1,973.50","1,957.80","1,977.10","1,949.90",183.58K,0.10%,0.007987222
2023/3/27,"1,971.50","2,000.30","2,001.50","1,962.70",107.04K,-1.51%,-0.014502495
2023/3/24,"2,001.70","2,013.30","2,023.90","1,995.70",118.69K,-0.58%,-0.005778347
2023/3/23,"2,013.30","1,992.50","2,023.30","1,984.40",74.55K,2.37%,0.010385035
2023/3/22,"1,966.60","1,959.70","1,999.40","1,953.70",60.53K,0.42%,0.003514763
2023/3/21,"1,958.30","2,000.70","2,005.70","1,955.90",65.17K,-2.07%,-0.021420369
2023/3/20,"1,999.70","2,008.60","2,031.70","1,987.00",69.06K,0.48%,-0.004440793
2023/3/17,"1,990.20","1,942.70","2,010.40","1,939.10",67.46K,2.60%,0.024156378
2023/3/16,"1,939.70","1,940.20","1,954.60","1,928.40",34.77K,-0.43%,-0.000257739
2023/3/15,"1,948.10","1,924.50","1,959.10","1,906.00",84.73K,1.95%,0.012188345
2023/3/14,"1,910.90","1,919.40","1,919.40","1,899.80",261.28K,-0.29%,-0.004438302
2023/3/13,"1,916.50","1,877.10","1,919.50","1,875.70",452.33K,2.64%,0.020772573
2023/3/10,"1,867.20","1,835.10","1,874.30","1,830.00",345.81K,1.78%,0.017341007
2023/3/9,"1,834.60","1,818.00","1,839.40","1,815.40",228.47K,0.88%,0.009089478
2023/3/8,"1,818.60","1,818.00","1,828.70","1,813.40",208.29K,-0.08%,0.000329979
2023/3/7,"1,820.00","1,852.60","1,856.90","1,817.10",248.23K,-1.87%,-0.017753557
2023/3/6,"1,854.60","1,861.00","1,864.30","1,850.60",136.22K,0.00%,-0.003444938
2023/3/3,"1,854.60","1,842.10","1,864.40","1,842.00",158.96K,0.77%,0.006762814
2023/3/2,"1,840.50","1,843.80","1,845.30","1,835.90",139.76K,-0.27%,-0.001791386
2023/3/1,"1,845.40","1,834.00","1,852.50","1,829.60",182.58K,0.47%,0.006196682
2023/2/28,"1,836.70","1,823.90","1,838.60","1,810.80",184.51K,0.65%,0.006993418
2023/2/27,"1,824.90","1,818.00","1,827.30","1,812.00",130.43K,0.87%,0.003788195
2023/2/24,"1,809.20","1,825.20","1,827.10","1,808.80",0.40K,-0.53%,-0.008804811
2023/2/23,"1,818.80","1,823.60","1,832.70","1,818.30",0.65K,-0.79%,-0.002635626
2023/2/22,"1,833.30","1,837.00","1,846.40","1,825.10",0.57K,-0.50%,-0.002016185
2023/2/21,"1,842.50","1,850.50","1,856.40","1,839.00",210.17K,-0.43%,-0.004332528
2023/2/20,"1,850.50","1,847.55","1,856.35","1,846.30",,0.15%,0.001595436
2023/2/19,"1,847.75","1,851.20","1,852.15","1,847.55",,0.40%,-0.001865395
2023/2/17,"1,840.40","1,827.40","1,842.20","1,818.40",0.04K,-0.09%,0.007088748
2023/2/16,"1,842.00","1,838.60","1,843.70","1,827.20",0.22K,0.43%,0.001847525
2023/2/15,"1,834.20","1,842.00","1,842.00","1,828.20",0.37K,-1.07%,-0.004243519
