日期,收盘,开盘,高,低,涨跌幅,return
2023/4/10,2.865,2.861,2.87,2.861,0.33%,0.001397136
2023/4/7,2.856,2.92,2.92,2.846,-0.38%,-0.022161572
2023/4/6,2.867,2.958,2.958,2.86,0.03%,-0.031247177
2023/4/4,2.866,2.93,2.93,2.858,-0.14%,-0.022085094
2023/4/3,2.87,2.913,2.913,2.853,0.31%,-0.014871448
2023/3/31,2.861,2.93,2.93,2.854,0.03%,-0.023831209
2023/3/30,2.86,2.9,2.9,2.85,-0.17%,-0.013889112
2023/3/29,2.865,2.926,2.926,2.856,0.07%,-0.021067952
2023/3/28,2.863,2.88,2.88,2.856,0.10%,-0.005920268
2023/3/27,2.86,2.938,2.938,2.854,-0.66%,-0.026907453
2023/3/24,2.879,2.935,2.935,2.866,0.17%,-0.019264442
2023/3/23,2.874,2.928,2.928,2.856,0.35%,-0.018614808
2023/3/22,2.864,2.88,2.88,2.858,-0.14%,-0.005571045
2023/3/21,2.868,2.87,2.87,2.855,0.17%,-0.000697107
2023/3/20,2.863,2.9,2.9,2.855,-0.14%,-0.012840711
2023/3/17,2.867,2.925,2.925,2.855,0.31%,-0.020028294
2023/3/16,2.858,2.92,2.93,2.858,-0.69%,-0.021461537
2023/3/15,2.878,2.928,2.928,2.87,-0.24%,-0.017223988
2023/3/14,2.885,2.91,2.91,2.871,0.07%,-0.008628181
2023/3/13,2.883,2.933,2.933,2.864,0.10%,-0.017194371
2023/3/10,2.88,2.911,2.911,2.876,-0.28%,-0.010706371
2023/3/9,2.888,2.916,2.916,2.887,-0.28%,-0.009648593
2023/3/8,2.896,2.913,2.963,2.885,0.21%,-0.005853003
2023/3/7,2.89,2.918,2.918,2.887,-0.28%,-0.009641948
2023/3/6,2.898,2.9,2.922,2.893,-0.72%,-0.000689893
2023/3/3,2.919,2.99,2.99,2.915,-0.31%,-0.024032296
2023/3/2,2.928,2.928,2.932,2.912,0.51%,0.005136118
2023/3/1,2.913,2.918,2.918,2.911,0.00%,-0.001714972
2023/2/28,2.913,2.92,2.93,2.912,-0.10%,-0.002400138
2023/2/27,2.916,2.91,2.948,2.91,-0.10%,0.002059733
2023/2/24,2.919,2.943,2.943,2.914,-0.21%,-0.008188377
2023/2/23,2.925,2.955,2.955,2.917,0.14%,-0.01020417
2023/2/22,2.921,2.929,2.929,2.916,-0.03%,-0.002735044
2023/2/21,2.922,2.965,2.965,2.919,0.10%,-0.014608719
2023/2/20,2.919,2.98,2.98,2.892,0.93%,-0.020682209
2023/2/17,2.892,2.925,2.935,2.89,-0.31%,-0.011346176
2023/2/16,2.901,2.97,2.97,2.893,0.14%,-0.023506448
2023/2/15,2.897,2.92,2.92,2.892,0.14%,-0.007907897
2023/2/14,2.893,3.02,3.02,2.892,-0.31%,-0.042962805
2023/2/13,2.902,3,3,2.894,-0.07%,-0.033212134
2023/2/10,2.904,2.94,2.94,2.892,0.24%,-0.012320484
2023/2/9,2.897,2.93,2.93,2.889,-0.28%,-0.011326704
2023/2/8,2.905,2.945,2.945,2.894,0.14%,-0.013675427
2023/2/7,2.901,2.945,2.945,2.9,-0.28%,-0.015053312
2023/2/6,2.909,2.943,2.943,2.894,-0.58%,-0.01162009
2023/2/3,2.926,2.96,2.97,2.915,-0.41%,-0.011552966
2023/2/2,2.938,2.97,2.97,2.92,0.10%,-0.010832875
2023/2/1,2.935,2.966,2.966,2.923,0.24%,-0.01050679
2023/1/31,2.928,3.06,3.06,2.918,-0.41%,-0.04409532
2023/1/30,2.94,3.021,3.021,2.933,-0.61%,-0.027178321
2023/1/29,2.958,2.971,2.971,2.953,-0.50%,-0.004385232
2023/1/28,2.973,2.972,2.983,2.97,-0.40%,0.000336417
2023/1/20,2.985,3.005,3.005,2.96,1.19%,-0.006677821
2023/1/19,2.95,3.023,3.023,2.938,-0.07%,-0.024444545
2023/1/18,2.952,3,3,2.923,0.24%,-0.016129382
2023/1/17,2.945,3.035,3.035,2.928,-0.34%,-0.030102607
2023/1/16,2.955,3.007,3.007,2.943,0.75%,-0.017444253
2023/1/13,2.933,2.98,2.98,2.907,0.55%,-0.015897511
2023/1/12,2.917,2.933,2.933,2.908,0.00%,-0.005470099
2023/1/11,2.917,2.951,2.951,2.907,-0.10%,-0.011588405
2023/1/10,2.92,2.965,2.965,2.893,0.59%,-0.015293416
2023/1/9,2.903,2.965,2.965,2.883,0.62%,-0.021132347
2023/1/6,2.885,2.91,2.91,2.873,0.52%,-0.008628181
