日期,return,收盘,开盘,高,低,交易量,涨跌幅
2023/4/10,0.000640233,6.8747,6.8703,6.8821,6.8701,,0.06%
2023/4/9,-5.82E-05,6.8703,6.8707,6.8707,6.8703,,0.03%
2023/4/7,-0.001702079,6.8681,6.8798,6.8798,6.8663,,-0.10%
2023/4/6,-0.001148431,6.875,6.8829,6.8843,6.8721,,-0.07%
2023/4/5,-4.36E-05,6.8795,6.8798,6.88,6.8794,,0.02%
2023/4/4,-0.000101769,6.878,6.8787,6.8857,6.8762,,0.01%
2023/4/3,-0.000174464,6.8776,6.8788,6.8948,6.8744,,0.15%
2023/3/31,0.002639043,6.8676,6.8495,6.8767,6.8445,,-0.05%
2023/3/30,-0.003196748,6.871,6.893,6.9078,6.8714,,-0.22%
2023/3/29,0.001191497,6.8862,6.878,6.8934,6.8756,,0.17%
2023/3/28,0.000130927,6.8745,6.8736,6.888,6.8717,,-0.13%
2023/3/27,0.001250164,6.8834,6.8748,6.8909,6.873,,0.23%
2023/3/24,0.004348721,6.8675,6.8377,6.8808,6.8373,,0.71%
2023/3/23,-0.005323985,6.8188,6.8552,6.8576,6.8166,,-0.89%
2023/3/22,0.000203503,6.8802,6.8788,6.8936,6.8773,,-0.04%
2023/3/21,0.000174358,6.883,6.8818,6.8858,6.8696,,0.09%
2023/3/20,-0.000290782,6.877,6.879,6.9036,6.8753,,-0.12%
2023/3/17,-0.001262819,6.885,6.8937,6.8952,6.862,,-0.17%
2023/3/16,0.000290044,6.8965,6.8945,6.911,6.8906,,-0.15%
2023/3/15,0.002856378,6.9067,6.887,6.9093,6.8752,,0.56%
2023/3/14,0.001092618,6.868,6.8605,6.886,6.8548,,0.33%
2023/3/13,-0.010593027,6.8455,6.9184,6.9184,6.8372,,-0.83%
2023/3/10,-0.008970869,6.9025,6.9647,6.9714,6.902,,-0.87%
2023/3/9,-4.31E-05,6.963,6.9633,6.9742,6.9566,,0.19%
2023/3/8,-0.003375785,6.9496,6.9731,6.9773,6.9455,,-0.16%
2023/3/7,0.002863085,6.9605,6.9406,6.9627,6.9229,,0.45%
2023/3/6,0.003020648,6.9295,6.9086,6.9353,6.9043,,0.36%
2023/3/3,0.001144787,6.9048,6.8969,6.912,6.8882,,-0.11%
2023/3/2,0.004553042,6.9122,6.8808,6.9187,6.877,,0.68%
2023/3/1,-0.009177635,6.8656,6.9289,6.9331,6.8623,,-0.97%
2023/2/28,-0.001945456,6.9325,6.946,6.9489,6.9307,,-0.15%
2023/2/27,-0.002718468,6.943,6.9619,6.9732,6.9426,,-0.17%
2023/2/24,0.005652584,6.9545,6.9153,6.9604,6.9112,,0.68%
2023/2/23,0.001666244,6.9075,6.896,6.9081,6.8795,,0.24%
2023/2/22,0.00088563,6.8908,6.8847,6.8997,6.8847,,0.30%
2023/2/21,0.000640671,6.87,6.8656,6.881,6.8615,,0.23%
2023/2/20,-0.001996809,6.8541,6.8678,6.8726,6.85,,-0.17%
2023/2/17,-0.000262123,6.8661,6.8679,6.885,6.8675,,0.10%
2023/2/16,0.001386002,6.859,6.8495,6.8679,6.8431,,0.12%
2023/2/15,0.003904855,6.851,6.8243,6.8537,6.8242,,0.37%
2023/2/14,0.001436824,6.8255,6.8157,6.8317,6.8089,,0.06%
2023/2/13,-0.001538067,6.8215,6.832,6.8338,6.8221,,0.21%
2023/2/10,0.00261838,6.807,6.7892,6.8135,6.7868,,0.42%
2023/2/9,-0.001709906,6.7782,6.7898,6.7923,6.773,,-0.13%
2023/2/8,0.001902445,6.7872,6.7743,6.7902,6.7715,,-0.06%
