TIME,DF,SM,GM,BM,FE
2018/2/22,"10,557.34","3,268.56","1,332.70",3.897,6.35
2018/2/23,"10,530.44","3,289.02","1,330.30",3.895,6.3373
2018/2/27,"10,663.31","3,329.57","1,332.80",3.896,6.316
2018/2/28,"10,394.86","3,292.07","1,318.60",3.887,6.317
2018/3/1,"10,327.56","3,259.41","1,317.90",3.874,6.3311
2018/3/2,"10,315.71","3,273.75","1,305.20",3.857,6.3582
2018/3/6,"10,234.78","3,254.53","1,323.40",3.853,6.3454
2018/3/7,"10,368.33","3,256.93","1,319.90",3.866,6.3495
2018/3/8,"10,454.48","3,289.64","1,335.20",3.863,6.3098
2018/3/9,"10,550.92","3,271.67","1,327.60",3.876,6.3255
2018/3/13,"10,806.34","3,288.41","1,321.70",3.865,6.3422
2018/3/14,"10,616.52","3,307.17","1,324.00",3.851,6.3325
2018/3/15,"10,680.09","3,326.70","1,320.80",3.85,6.33
2018/3/16,"10,864.69","3,310.24","1,327.10",3.848,6.3216
2018/3/20,"10,669.67","3,291.38","1,325.60",3.857,6.318
2018/3/21,"10,797.73","3,291.11","1,317.80",3.861,6.3221
2018/3/22,"10,686.75","3,269.88","1,312.30",3.863,6.335
2018/3/23,"10,181.10","3,279.25","1,317.80",3.858,6.3322
2018/3/27,"10,052.46","3,290.64","1,311.90",3.828,6.334
2018/3/28,"9,798.79","3,280.95","1,321.50",3.81,6.3232
2018/3/29,"9,551.68","3,263.48","1,327.40",3.804,6.335
2018/3/30,"9,652.18","3,152.76","1,349.90",3.769,6.316
2018/4/3,"9,456.97","3,133.72","1,355.00",3.762,6.2734
2018/4/4,"9,419.53","3,166.65","1,342.00",3.742,6.2831
2018/4/10,"9,478.80","3,122.29","1,324.20",3.773,6.2979
2018/4/11,"9,680.98","3,160.53","1,327.30",3.75,6.2898
2018/4/12,"9,627.47","3,168.90","1,346.90",3.77,6.2753
2018/4/13,"9,623.71","3,163.18","1,337.30",3.778,6.2805
2018/4/17,"9,432.89","3,136.63","1,340.20",3.747,6.2899
2018/4/18,"9,563.84","3,131.11","1,328.50",3.748,6.3052
2018/4/19,"9,617.24","3,138.29","1,336.10",3.745,6.3052
2018/4/20,"9,599.18","3,190.32","1,340.10",3.74,6.3052
2018/4/24,"9,373.25","3,208.08","1,345.90",3.74,6.307
2018/4/25,"9,262.42","3,180.16","1,360.00",3.75,6.2832
2018/4/26,"9,164.30","3,159.05","1,341.90",3.733,6.269
2018/4/27,"9,278.90","3,110.65","1,347.90",3.728,6.2915
2018/5/2,"9,587.81","3,066.80","1,350.70",3.748,6.275
2018/5/3,"9,614.86","3,091.40","1,349.50",3.735,6.2765
2018/5/4,"9,564.74","3,117.38","1,353.50",3.74,6.2826
2018/5/8,"9,829.70","3,071.54","1,348.80",3.718,6.2744
2018/5/9,"9,963.99","3,068.01","1,338.30",3.677,6.2791
2018/5/10,"9,930.94","3,128.93","1,324.00",3.607,6.2965
2018/5/11,"10,079.89","3,117.97","1,333.00",3.532,6.3171
2018/5/15,"10,163.80","3,075.03","1,322.80",3.54,6.3065
2018/5/16,"10,046.86","3,082.23","1,317.90",3.603,6.3266
2018/5/17,"10,155.53","3,081.18","1,323.40",3.597,6.3365
2018/5/18,"10,085.93","3,100.86","1,319.20",3.617,6.3332
2018/5/22,"9,759.01","3,091.03","1,306.80",3.64,6.3332
2018/5/23,"9,730.73","3,136.64","1,305.60",3.662,6.3332
2018/5/24,"9,795.47","3,161.50","1,312.70",3.653,6.3624
2018/5/25,"9,765.36","3,159.15","1,314.70",3.68,6.3537
2018/5/29,"9,846.57","3,174.41","1,314.10",3.672,6.3627
2018/5/30,"9,830.09","3,163.26","1,313.70",3.657,6.3667
2018/5/31,"9,796.52","3,174.03","1,313.00",3.658,6.3706
2018/6/1,"9,822.55","3,192.12","1,322.30",3.697,6.3624
2018/6/5,"10,347.52","3,169.57","1,320.70",3.715,6.3492
2018/6/6,"10,388.82","3,154.28","1,318.20",3.721,6.3341
2018/6/7,"10,446.76","3,193.30","1,290.30",3.71,6.3392
2018/6/8,"10,413.67","3,213.84","1,291.50",3.713,6.3778
2018/6/12,"10,522.58","3,214.35","1,289.40",3.723,6.3715
2018/6/13,"10,608.72","3,168.96","1,291.30",3.723,6.3671
2018/6/14,"10,551.74","3,154.65","1,290.90",3.731,6.38
2018/6/15,"10,693.74","3,141.30","1,292.00",3.722,6.3835
2018/6/19,"10,720.92","3,135.08","1,289.60",3.722,6.3675
2018/6/20,"10,497.92","3,120.46","1,304.40",3.722,6.3885
2018/6/21,"10,571.45","3,041.44","1,303.70",3.705,6.3783
2018/6/22,"10,412.58","3,095.47","1,299.00",3.702,6.3918
2018/6/26,"10,062.35","3,075.14","1,301.60",3.673,6.3993
2018/6/27,"10,130.54","3,091.19","1,306.50",3.685,6.4176
2018/6/28,"9,818.37","3,114.21","1,304.70",3.643,6.419
2018/6/29,"9,956.91","3,115.18","1,299.30",3.64,6.4103
2018/7/3,"10,133.30","3,109.50","1,297.30",3.621,6.4204
2018/7/4,"10,034.62","3,067.15","1,302.20",3.646,6.41
2018/7/5,"9,970.73","3,052.78","1,301.40",3.648,6.4061
2018/7/6,"9,966.15","3,079.80","1,303.00",3.667,6.3884
2018/7/10,"10,354.79","3,049.80","1,302.70",3.683,6.3921
